concept,prompt
conference-abstract,抽象相关类：扩展抽象属性：有一个抽象，是第1部分
conference-accepted_contribution,已接受贡献相关类：相机就绪贡献、拒绝贡献、已审核贡献
conference-active_conference_participant,主动会议参与者相关类：会议贡献者、会议参与者、受邀演讲者、被动会议参与者、常规作者属性：进行演示，由以下人员给出
conference-call_for_paper,征集论文相关课程：会议文件
conference-call_for_participation,呼吁参与相关课程：会议文件
conference-camera_ready_contribution,相机就绪贡献相关类：已接受的贡献
conference-chair,主席相关类别： 委员会成员属性： 拥有委员会主席，曾担任以下委员会主席
conference-co-chair,联合主席相关类别： 委员会成员属性： 曾担任委员会联合主席、曾担任委员会联合主席
conference-committee,委员会相关类别：组织委员会、计划委员会、指导委员会属性：有委员会主席、有委员会联合主席、有委员会、有成员、曾是以下委员会的联合主席、曾是以下委员会的主席、曾是以下委员会的委员会、曾是以下委员会的成员
conference-committee_member,委员会成员相关类别：主席、联合主席、个人属性：有成员、曾是以下成员
conference-conference,会议相关类：会议卷
conference-conference_announcement,会议公告相关类：会议文件
conference-conference_applicant,会议申请人相关类别：个人、注册申请人
conference-conference_contribution,会议贡献相关类：会议文件、邀请演讲、海报、演示文稿、定期贡献、书面贡献属性：有贡献，提交于
conference-conference_contributor,会议贡献者相关类别：活跃会议参与者、受邀演讲者、个人、常规作者
conference-conference_document,会议文件相关类：征集论文、征集参与、会议公告、会议贡献、会议 www、参与者信息、评论属性：贡献、有发布日期、有作者
conference-conference_fees,会议费
conference-conference_part,会议部分相关类：轨道、教程、研讨会属性：有一个轨道研讨会教程主席，有一个轨道研讨会教程主题，有零件，是会议部分的主题，是会议卷的一部分，是一个轨道研讨会主席
conference-conference_participant,会议参与者相关类：主动会议参与者、被动会议参与者、人员
conference-conference_proceedings,会议记录属性：有出版商、有卷、有 isbn、问题
conference-conference_volume,会议卷相关类：会议属性：属于会议卷、有委员会、有地点、有计划委员会、有指导委员会、有组织委员会、有贡献、有重要日期、有部分、有曲目、有教程、有研讨会、是会议卷的一部分、提交于、是...的委员会、是...的计划委员会、是...的指导委员会、是...的组织委员会
conference-conference_www,会议www相关类：会议文档属性：有一个url
conference-contribution_1th-author,贡献第一作者相关类别：贡献共同作者、常规作者
conference-contribution_co-author,贡献共同作者相关类别：贡献第一作者、常规作者
conference-early_paid_applicant,早期付费申请人相关类别：延迟付费申请人、付费申请人
conference-extended_abstract,扩展摘要相关类：摘要、论文、常规贡献
conference-important_dates,重要日期属性：属于会议卷，具有重要日期，是接受公告的日期，是相机准备好的论文提交日期，是完整论文提交日期，是开始日期，是摘要提交日期，是结束日期
conference-information_for_participants,给与会人员相关课程的信息：会议文件
conference-invited_speaker,受邀演讲者相关课程：会议撰稿人
conference-invited_talk,受邀演讲相关课程：海报、演示、定期贡献
conference-late_paid_applicant,迟付申请人相关类别：早付申请人、已付申请人
conference-organization,组织
conference-organizer,组织者相关类别：委员会成员、组织
conference-organizing_committee,组委会相关类：委员会、程序委员会、指导委员会属性：有一个组委会，是一个组委会
conference-paid_applicant,付费申请人相关类别：早期付费申请人、延迟付费申请人、注册申请人
conference-paper,论文相关类：扩展摘要、定期贡献
conference-passive_conference_participant,被动会议参与者相关类：主动会议参与者、会议参与者
conference-person,人员相关类：委员会成员、会议申请人、会议贡献者、会议参与者、审稿人、跟踪研讨会主席属性：贡献、有电子邮件、有作者、有性别、有名字、有姓氏
conference-poster,海报相关课程：会议投稿、邀请演讲、定期投稿
conference-presentation,与演示相关的课程：会议贡献、受邀演讲属性：进行演示、由以下人员给出
conference-program_committee,程序委员会相关类：委员会、组委会、指导委员会属性：有一个程序委员会，是一个程序委员会
conference-publisher,出版商属性：有出版商、问题
conference-registeered_applicant,注册申请人相关类别：会议申请人、付费申请人
conference-regular_author,常规作者相关类别：会议贡献者、贡献第一作者、贡献共同作者
conference-regular_contribution,常规贡献相关课程：扩展摘要、邀请演讲、论文、海报、书面贡献
conference-rejected_contribution,被拒绝的贡献相关类：已接受的贡献、已审核的贡献
conference-review,评论相关类：会议文档属性：有评论、有作者、评论
conference-review_expertise,评审专业知识属性：属于审稿人、具有评审专业知识、具有已提交的贡献、具有专业知识
conference-review_preference,审稿偏好属性：属于审稿参考、属于审稿人、具有学位、有主题或提交贡献、已分配审稿参考
conference-reviewed_contribution,已审核的贡献相关类别：已接受的贡献、已拒绝的贡献、已提交的贡献属性：有审核、评论
conference-reviewer,审稿人相关类：人员属性：属于审稿人、具有审稿参考资料或专业知识、受邀请、邀请共同审稿人
conference-steering_committee,指导委员会相关类：委员会、组委会、程序委员会属性：有一个指导委员会，是一个指导委员会
conference-submitted_contribution,提交的贡献相关类别：海报、定期贡献、审阅的贡献、书面贡献属性：具有审阅专业知识、具有提交的贡献
conference-topic,主题属性：属于评论参考，有跟踪研讨会教程主题，是会议部分的主题
conference-track,轨道相关课程：会议部分、教程、研讨会属性：有轨道
conference-track-workshop_chair,田径讲习班椅子 相关职业： 人物属性：拥有田径讲习班辅导椅，曾是田径讲习班主席
