file,concept1,concept2,value
input-data/sick_annotated.txt,1-num-1,1-num-2,4.5
input-data/sick_annotated.txt,2-num-1,2-num-2,3.2
input-data/sick_annotated.txt,3-num-1,3-num-2,4.7
input-data/sick_annotated.txt,4-num-1,4-num-2,3.6
input-data/sick_annotated.txt,5-num-1,5-num-2,3.4
input-data/sick_annotated.txt,6-num-1,6-num-2,3.3
input-data/sick_annotated.txt,7-num-1,7-num-2,3.7
input-data/sick_annotated.txt,8-num-1,8-num-2,3
input-data/sick_annotated.txt,9-num-1,9-num-2,3.7
input-data/sick_annotated.txt,10-num-1,10-num-2,4.9
input-data/sick_annotated.txt,11-num-1,11-num-2,3.665
input-data/sick_annotated.txt,12-num-1,12-num-2,4
input-data/sick_annotated.txt,13-num-1,13-num-2,3.3
input-data/sick_annotated.txt,14-num-1,14-num-2,3.5
input-data/sick_annotated.txt,15-num-1,15-num-2,2.7
input-data/sick_annotated.txt,16-num-1,16-num-2,2.9
input-data/sick_annotated.txt,17-num-1,17-num-2,2.3
input-data/sick_annotated.txt,18-num-1,18-num-2,3.2
input-data/sick_annotated.txt,19-num-1,19-num-2,4.9
input-data/sick_annotated.txt,20-num-1,20-num-2,3.6
input-data/sick_annotated.txt,21-num-1,21-num-2,3
input-data/sick_annotated.txt,22-num-1,22-num-2,4.3
input-data/sick_annotated.txt,23-num-1,23-num-2,4.1
input-data/sick_annotated.txt,24-num-1,24-num-2,3.4
input-data/sick_annotated.txt,25-num-1,25-num-2,2.8
input-data/sick_annotated.txt,26-num-1,26-num-2,3.7
input-data/sick_annotated.txt,27-num-1,27-num-2,3.2
input-data/sick_annotated.txt,28-num-1,28-num-2,3.4
input-data/sick_annotated.txt,29-num-1,29-num-2,3.3
input-data/sick_annotated.txt,30-num-1,30-num-2,4.9
input-data/sick_annotated.txt,31-num-1,31-num-2,4
input-data/sick_annotated.txt,32-num-1,32-num-2,4.2
input-data/sick_annotated.txt,33-num-1,33-num-2,4.7
input-data/sick_annotated.txt,34-num-1,34-num-2,3.9
input-data/sick_annotated.txt,35-num-1,35-num-2,3.6
input-data/sick_annotated.txt,36-num-1,36-num-2,3.5
input-data/sick_annotated.txt,37-num-1,37-num-2,4
input-data/sick_annotated.txt,38-num-1,38-num-2,3.5
input-data/sick_annotated.txt,39-num-1,39-num-2,3.6
input-data/sick_annotated.txt,40-num-1,40-num-2,3.8
input-data/sick_annotated.txt,41-num-1,41-num-2,4.4
input-data/sick_annotated.txt,42-num-1,42-num-2,3.4
input-data/sick_annotated.txt,43-num-1,43-num-2,4
input-data/sick_annotated.txt,44-num-1,44-num-2,4.9
input-data/sick_annotated.txt,45-num-1,45-num-2,3.9
input-data/sick_annotated.txt,46-num-1,46-num-2,3.9
input-data/sick_annotated.txt,47-num-1,47-num-2,3.415
input-data/sick_annotated.txt,48-num-1,48-num-2,3.7
input-data/sick_annotated.txt,49-num-1,49-num-2,3.7
input-data/sick_annotated.txt,50-num-1,50-num-2,3.6
input-data/sick_annotated.txt,51-num-1,51-num-2,3.9
input-data/sick_annotated.txt,52-num-1,52-num-2,4.9
input-data/sick_annotated.txt,53-num-1,53-num-2,4
input-data/sick_annotated.txt,54-num-1,54-num-2,3.9
input-data/sick_annotated.txt,55-num-1,55-num-2,4.4
input-data/sick_annotated.txt,56-num-1,56-num-2,3.8
input-data/sick_annotated.txt,57-num-1,57-num-2,4.1
input-data/sick_annotated.txt,58-num-1,58-num-2,3.5
input-data/sick_annotated.txt,59-num-1,59-num-2,3.9
input-data/sick_annotated.txt,60-num-1,60-num-2,3.1
input-data/sick_annotated.txt,61-num-1,61-num-2,3.9
input-data/sick_annotated.txt,62-num-1,62-num-2,4
input-data/sick_annotated.txt,63-num-1,63-num-2,4.4
input-data/sick_annotated.txt,64-num-1,64-num-2,3.8
input-data/sick_annotated.txt,65-num-1,65-num-2,2.9
input-data/sick_annotated.txt,66-num-1,66-num-2,4.8
input-data/sick_annotated.txt,67-num-1,67-num-2,4.1
input-data/sick_annotated.txt,68-num-1,68-num-2,4.6
input-data/sick_annotated.txt,69-num-1,69-num-2,3.6
input-data/sick_annotated.txt,70-num-1,70-num-2,4.1
input-data/sick_annotated.txt,71-num-1,71-num-2,3.3
input-data/sick_annotated.txt,72-num-1,72-num-2,2.5
input-data/sick_annotated.txt,73-num-1,73-num-2,4.2
input-data/sick_annotated.txt,74-num-1,74-num-2,4.7
input-data/sick_annotated.txt,75-num-1,75-num-2,3.8
input-data/sick_annotated.txt,76-num-1,76-num-2,2.9
input-data/sick_annotated.txt,77-num-1,77-num-2,4.4
input-data/sick_annotated.txt,78-num-1,78-num-2,3.2
input-data/sick_annotated.txt,79-num-1,79-num-2,3.635
input-data/sick_annotated.txt,80-num-1,80-num-2,1.3
input-data/sick_annotated.txt,81-num-1,81-num-2,2.4
