concept,prompt
confof-administrative_event,Événement administratif Événement Enregistrement des participants Événement Événement Événement Révision de l'événement Révision des résultats Événement Camera Ready Event Event Administrative Event
confof-administrator,Administrateur
confof-assistant,Adjoint
confof-author,Auteur Certaines écrites contribution uniquement écrit la contribution de la personne
confof-banquet,Événement social de banquet
confof-camera_ready_event,Événement administratif de l'événement de la caméra Ready
confof-chair_pc,Chaise PC personne
confof-city,Ville
confof-company,Organisation d'entreprise
confof-conference,Événement de travail de la conférence
confof-contribution,Contribution exactement 1 de Hastitle au moins 1 de Haskeyword Thing au moins 1 de ContactEmail exactement 1 de l'abstrait uniquement de transactions
confof-country,Pays
confof-event,Événement événementiel événementiel événementiel événement social
confof-member,Membre du participant
confof-member_pc,Membre du PC membre Certains examinateurs Contribution uniquement d'experts
confof-organization,Université d'entreprise d'organisation
confof-paper,Cotisation
confof-participant,Étudiant régulier membre de la personne participante
confof-person,Personne exactement 1 de Hassurname une City Hascity City Au moins 1 de Haspostalcode une certaine organisation employée au moins 1 de Hasemail exactement 1 de Hasfirstname Thing Au moins 1 de Hasstreet unique
confof-poster,Contribution de l'affiche
confof-reception,Événement social de réception
confof-registration_of_participants_event,Enregistrement de l'événement d'événement des participants
confof-regular,Participant régulier
confof-reviewing_event,Examen de l'événement administratif des événements
confof-reviewing_results_event,Examen de l'événement d'événement des résultats
confof-scholar,Personne Scholar Study University University Studyat University University
confof-science_worker,Travailleur scientifique
confof-short_paper,Contribution du papier court
confof-social_event,Événement social exactement 1 de l'emplacement exactement 1 de DefaultChoice exactement 1 de Titre Event Event Banquet Reception Reception
confof-student,Étudiant participant
confof-submission_event,Événement de soumission Événement administratif
confof-topic,Sujet
confof-trip,Événement social de voyage
confof-tutorial,Événement de travail du tutoriel
confof-university,Organisation universitaire
confof-volunteer,Bénévole
confof-working_event,Événement de travail exactement 1 de a le titre un sujet hastopic exactement 1 de DefaultChoice exactement 1 de l'événement de localisation uniquement du sujet hastopic Conférence de conférence
confof-workshop,Événement de travail de l'atelier
confof-thing,Contribution de la personne
edas-academiaorganization,Organisation de l'organisation universitaire
edas-academicevent,Academicevent Conferenceevent OrganizationalMeet Talkevent Workshop Paperpresentation Call
edas-acceptrating,Accéptrer la révision
edas-acceptedpaper,Papier en papier accepté Paperpresentation
edas-accommodationplace,Lieu d'hébergement
edas-accpetifroomrating,Accpetifroom qui revient la révision
edas-activepaper,Papier actif papier notepapers reviedRating
edas-antennastopic,Sujet antennastopique
edas-attendee,Participant
edas-author,Document de présentateur d'auteur
edas-breakevent,Breas d'événements non académiques Break -break Freetimebreak Freetimebreak
edas-cadtopic,Sujet cadtopique
edas-call,Appelez CallForPapers CallFormanUscripts CallForReviews AcademiceVetre conférenceChair ou SessionChair ou TPCMember
edas-callformanuscripts,Appel de callformanUscripts
edas-callforpapers,Appel CallForPapers
edas-callforreviews,Appel CallForReviews
edas-closingtalk,ClosingTalk Talkevent
edas-coffeebreak,Coffeebreak Breakevent
edas-communicationtheorytopic,Sujet de communicationtheorytopic
edas-communicationstopic,Sujet de la communication
edas-computerarchitecturetopic,Sujet de l'architecture informatique
edas-computernetworksaapplicationstopic,Ordro publicworksaApplicationStopic ComputerNetWorkstopic
edas-computernetworksenterprisetopic,OrdrodNetWorkSenterPrisetopic ComputerworkStopic
edas-computernetworksmanagementtopic,ComputerNetWorksManagementTopic ComputerNetWorkstopic
edas-computernetworksmeasurementstopic,Ordro publicworksMeasurementStopic ComputerNetworkStopic
edas-computernetworksopticaltopic,Ordro publicworksopticaltopic Computhernetworkstopic
edas-computernetworkssecuritytopic,Ordro publicworkssecurityTopic ComputerNetWorkstopic
edas-computernetworkssensortopic,OrdinternorworksSensortopic ComputerNetWorkstopic
edas-computernetworksswitchingtopic,ComputerNetWorksSwitchingTopic ComputerNetWorkstopic
edas-computernetworkstopic,ComputationNetworkStopic Sujet ComputerNetWorksOpticalTopic ComputerNetWorksManagementTopic ComputerNetWorksWitchTopic ComputerworksSensortopic ComputerNetWorksMeasurementStopic Computertork
edas-conference,Chose de conférence exactement 1 de Hasname exactement 1 de Hascountry exactement 1 de Hastopic au plus 1 de PaperDueon au plus 1 de ManuscriptDueon au plus 1 de l'enregistrement au plus au plus 1 de la fin du plus 1 de la personne du pays startdate
edas-conferencechair,Conférences
edas-conferencedinner,Conférencé Méalevent
edas-conferenceevent,Conferenceevent Academicevent Notacademicevent Person Place Programme Programme
edas-conferencesession,Conférences
edas-conferencevenueplace,Place de conférence
edas-contactinformation,Coordonnées
edas-country,Pays
edas-cryptographytopic,Sujet cryptographytopique
edas-diningplace,Diningplace Place
edas-document,Document Review Paper MealMenu Programme Slideset Academicevent ou Conférence ou conférences ou personne
edas-excursion,Excursion Socialevent
edas-freetimebreak,Freetimebreak Breakevent
edas-governmentorganization,Organisation d'organisation gouvernementale
edas-industryorganization,Organisation de l'organisation de l'industrie
edas-mealbreak,Pause des repas Pause même
edas-mealevent,MEEALEVER NONACADEMICEvent conférencé MEALMENU
edas-mealmenu,Document MealMenu Mealevent
edas-medicinetopic,Sujet médicinétopique
edas-meetingroomplace,Lieu de réunion
edas-microelectronicstopic,Sujet du sujet de la microélectronique
edas-mobilecomputingtopic,Sujet MobileComputingTopic
edas-multimediatopic,Sujet multimédiatopique
edas-ngo,Organisation des ONG
edas-nonacademicevent,Événement de la conférence sur l'événement non académique Meanevent Breakevent Socialevent
edas-numericalreviewquestion,NumericalReviewESTtion Review
edas-operatingtopicsystems,Sujet opération de systèmes
edas-organization,Organisation ONG ONGA-Oorganisation L'organisation de l'industrie Organisation du parrainage de l'organisation du gouvernement
edas-organizationalmeeting,Réunion organisationnelle Événement académique
edas-paper,Document de papier retiré Papier accepté Publié Publication en attente de papier de papier rejeté Conférence active ConferenceChair ou Reviewer ou SessionChair ou TPCMember Auteur
edas-paperpresentation,Paperpresentation AcademiceVetre accepté Papier
edas-parallelanddistributedcomputingtopic,Sujet de maîtrise de la maîtrise de la répartition
edas-pendingpaper,Papier en attente
edas-performancetopic,Sujet performancetopic
edas-person,Personne Conference Conference de la conférence de la conférence de session de session TPCMemberchair
edas-personalhistory,Personalhistory PersonalreViewHistory PersonalPublicationhistory
edas-personalpublicationhistory,PersonalPublicationhistory History
edas-personalreviewhistory,PersonalReviewHistory PersonalHistory Reviewer
edas-place,PlacezroplacePlace DiningPlace HodationPlace ConferenceVenueplace ConferenceEvent
edas-powerlinetransmissiontopic,Sujet PowerLineTransmissiontopic
edas-presenter,Présentateur
edas-programme,Conference de document de programme
edas-publishedpaper,Papier de papier publié
edas-radiocommunicationstopic,Radiocommunications Sujet Sujet
edas-ratedpapers,RatedPapers Faper actif
edas-reception,Socialevent de réception
edas-rejectrating,REJECTRER REVIEDRATING
edas-rejectedpaper,Papier rejeté
edas-review,Examen du document
edas-reviewform,REVUEFORM
edas-reviewquestion,ReviewQuestion textualRieViewESTtion NumericalReviewQutation
edas-reviewrating,Revue REJECTRATION ACCEPTEFORMATING ACCEPTRATION WEDEDRATRINT
edas-reviewer,Réviseur PersonalReviewHistory
edas-satelliteandspacecommunicationstopic,SatelliteAndPaceCommunicationstopic
edas-securitytopic,Sujet de sécurité
edas-sessionchair,Chair de session
edas-signalprocessingtopic,Signal ProcessingTopic Sujet
edas-singlelevelconference,SinglelevelConference
edas-slideset,Document Slideset
edas-socialevent,Événement social Excursion de réception d'événements non académiques
edas-sponsorship,Organisation de parrainage TravelGrant
edas-tpcmember,Tpcmembember
edas-talkevent,Talkevent Academicevent Welcometalk ClosingTalk
edas-testonlytopic,Sujet testonlytopique
edas-textualreviewquestion,TextualReviewQtiontion Review
edas-topic,Topic MedicineTopic ComputerNetworksTopic AntennasTopic MicroelectronicsTopic MobileComputingTopic ParallelAndDistributedComputingTopic MultimediaTopic CADTopic SecurityTopic SignalProcessingTopic TestOnlyTopic PowerlineTransmissionTopic CommunicationTheoryTopic PerformanceTopic CryptographyTopic CommunicationsTopic SATELLITEADSPACECOMUNICATIONSTOPIC ComputerArchitectureTopic WirelessCommunicationStopic radiocommunicationstopic OperatingTopicSystems ou document
edas-travelgrant,Parrainage TravelGrant
edas-twolevelconference,TwolevelConference
edas-weekrejectrating,WeekRejectrating Review Ratation
edas-welcometalk,Welcometalk Talkevent
edas-wirelesscommunicationstopic,Sujet de la communication sans fil
edas-withdrawnpaper,Papier retiré
edas-workshop,Atelier AcademiceVevent
edas-thing,Conférence
conference-abstract,Résumé Document ou présentation abstraite étendue
conference-accepted_contribution,Contribution acceptée Contribution Contribution Caméra Prêt Contribution
conference-active_conference_participant,Le participant à la conférence active a invité un conférencier ou une présentation régulière des participants à la conférence de la conférence des auteurs
conference-call_for_paper,Appel pour le document de conférence sur papier
conference-call_for_participation,Document de conférence d'appel d'appel
conference-camera_ready_contribution,Contribution de la caméra à contribution acceptée
conference-chair,Comité des membres du comité
conference-co-chair,Comité des membres du comité des co-réprimatiques
conference-committee,Comité d'organisation du comité du comité du comité du comité directeur du comité du comité comité co-réprésente du comité des membres du comité de conférence Volume
conference-committee_member,Membre du comité président comité coprésident
conference-conference,Volume de conférence de la conférence
conference-conference_announcement,Document de conférence d'annonce de la conférence
conference-conference_applicant,Demandeur de la conférence
conference-conference_contribution,Conférence Contribution Document de conférence Présentation de contribution écrite Affiche Volume Conférence
conference-conference_contributor,Cont contributeur de la conférence invitée conférencier actif participant auteur régulier
conference-conference_document,Conférence de la conférence Conférence www Review Informations pour les participants Appel à la participation Conférence Contribution Conférence Annonce de conférence pour personne Person
conference-conference_fees,Frais de conférence
conference-conference_part,Conférence partielle du tutoriel atelier Track-Workshop Chair Topic Conference Volume Conference
conference-conference_participant,Participant de la conférence Personne active participant à la conférence active participant à la conférence passive
conference-conference_proceedings,Éditeur des actes de conférence
conference-conference_volume,Volume de conférence du comité de conférence du comité du comité du comité directeur du comité d'organisation Comité de conférence Contribution des dates importantes
