concept,prompt
conference-abstract,"abstract  related classes: extended abstract  properties: has an abstract, is the 1th part of"
conference-accepted_contribution,"accepted contribution  related classes: camera ready contribution, rejected contribution, reviewed contribution"
conference-active_conference_participant,"active conference participant  related classes: conference contributor, conference participant, invited speaker, passive conference participant, regular author  properties: gives presentations, is given by"
conference-call_for_paper,call for paper  related classes: conference document
conference-call_for_participation,call for participation  related classes: conference document
conference-camera_ready_contribution,camera ready contribution  related classes: accepted contribution
conference-chair,"chair  related classes: committee member  properties: has a committee chair, was a committee chair of"
conference-co-chair,"co chair  related classes: committee member  properties: has a committee co chair, was a committe co chair of"
conference-committee,"committee  related classes: organizing committee, program committee, steering committee  properties: has a committee chair, has a committee co chair, has a commtitee, has members, was a committe co chair of, was a committee chair of, was a committee of, was a member of"
conference-committee_member,"committee member  related classes: chair, co chair, person  properties: has members, was a member of"
conference-conference,conference  related classes: conference volume
conference-conference_announcement,conference announcement  related classes: conference document
conference-conference_applicant,"conference applicant  related classes: person, registeered applicant"
conference-conference_contribution,"conference contribution  related classes: conference document, invited talk, poster, presentation, regular contribution, written contribution  properties: has contributions, is submitted at"
conference-conference_contributor,"conference contributor  related classes: active conference participant, invited speaker, person, regular author"
conference-conference_document,"conference document  related classes: call for paper, call for participation, conference announcement, conference contribution, conference www, information for participants, review  properties: contributes, has a date of issue, has authors"
conference-conference_fees,conference fees
conference-conference_part,"conference part  related classes: track, tutorial, workshop  properties: has a track workshop tutorial chair, has a track workshop tutorial topic, has parts, is a topis of conference parts, is part of conference volumes, was a track workshop chair of"
conference-conference_participant,"conference participant  related classes: active conference participant, passive conference participant, person"
conference-conference_proceedings,"conference proceedings  properties: has a publisher, has a volume, has an isbn, issues"
conference-conference_volume,"conference volume  related classes: conference  properties: belong to a conference volume, has a commtitee, has a location, has a program committee, has a steering committee, has an organizing committee, has contributions, has important dates, has parts, has tracks, has tutorials, has workshops, is part of conference volumes, is submitted at, was a committee of, was a program committee of, was a steering committee of, was an organizing committee of"
conference-conference_www,conference www  related classes: conference document  properties: has a url
conference-contribution_1th-author,"contribution 1th author  related classes: contribution co author, regular author"
conference-contribution_co-author,"contribution co author  related classes: contribution 1th author, regular author"
conference-early_paid_applicant,"early paid applicant  related classes: late paid applicant, paid applicant"
conference-extended_abstract,"extended abstract  related classes: abstract, paper, regular contribution"
conference-important_dates,"important dates  properties: belong to a conference volume, has important dates, is a date of acceptance announcement, is a date of camera ready paper submission, is a full paper submission date, is a starting date, is an abstract submission date, is an ending date"
conference-information_for_participants,information for participants  related classes: conference document
conference-invited_speaker,invited speaker  related classes: conference contributor
conference-invited_talk,"invited talk  related classes: poster, presentation, regular contribution"
conference-late_paid_applicant,"late paid applicant  related classes: early paid applicant, paid applicant"
conference-organization,organization
conference-organizer,"organizer  related classes: committee member, organization"
conference-organizing_committee,"organizing committee  related classes: committee, program committee, steering committee  properties: has an organizing committee, was an organizing committee of"
conference-paid_applicant,"paid applicant  related classes: early paid applicant, late paid applicant, registeered applicant"
conference-paper,"paper  related classes: extended abstract, regular contribution"
conference-passive_conference_participant,"passive conference participant  related classes: active conference participant, conference participant"
conference-person,"person  related classes: committee member, conference applicant, conference contributor, conference participant, reviewer, track workshop chair  properties: contributes, has an email, has authors, has gender, has the first name, has the last name"
conference-poster,"poster  related classes: conference contribution, invited talk, regular contribution"
conference-presentation,"presentation  related classes: conference contribution, invited talk  properties: gives presentations, is given by"
conference-program_committee,"program committee  related classes: committee, organizing committee, steering committee  properties: has a program committee, was a program committee of"
conference-publisher,"publisher  properties: has a publisher, issues"
conference-registeered_applicant,"registeered applicant  related classes: conference applicant, paid applicant"
conference-regular_author,"regular author  related classes: conference contributor, contribution 1th author, contribution co author"
conference-regular_contribution,"regular contribution  related classes: extended abstract, invited talk, paper, poster, written contribution"
conference-rejected_contribution,"rejected contribution  related classes: accepted contribution, reviewed contribution"
conference-review,"review  related classes: conference document  properties: has a review, has authors, reviews"
conference-review_expertise,"review expertise  properties: belongs to reviewers, has a review expertise, has a submitted contribution, has an expertise"
conference-review_preference,"review preference  properties: belongs to a review reference, belongs to reviewers, has a degree, has a topic or a submission contribution, has been assigned a review reference"
conference-reviewed_contribution,"reviewed contribution  related classes: accepted contribution, rejected contribution, submitted contribution  properties: has a review, reviews"
conference-reviewer,"reviewer  related classes: person  properties: belongs to reviewers, has a review reference or expertise, invited by, invites co reviewers"
conference-steering_committee,"steering committee  related classes: committee, organizing committee, program committee  properties: has a steering committee, was a steering committee of"
conference-submitted_contribution,"submitted contribution  related classes: poster, regular contribution, reviewed contribution, written contribution  properties: has a review expertise, has a submitted contribution"
conference-topic,"topic  properties: belongs to a review reference, has a track workshop tutorial topic, is a topis of conference parts"
conference-track,"track  related classes: conference part, tutorial, workshop  properties: has tracks"
conference-track-workshop_chair,"track workshop chair  related classes: person  properties: has a track workshop tutorial chair, was a track workshop chair of"
conference-tutorial,"tutorial  related classes: conference part, track, workshop  properties: has tutorials"
conference-workshop,"workshop  related classes: conference part, track, tutorial  properties: has workshops"
conference-written_contribution,"written contribution  related classes: conference contribution, poster, regular contribution, submitted contribution"
cmt-acceptance,"acceptance  related classes: decision, rejection"
