concept,prompt
confof-administrative_event,Administrative event Event Reviewing results event Registration of participants event Camera Ready event Submission event Reviewing event Administrative event
confof-administrator,Administrator Person
confof-assistant,Assistant Person
confof-author,Author some writes Contribution only writes Contribution Person Contribution
confof-banquet,Banquet Social event
confof-camera_ready_event,Camera Ready event Administrative event
confof-chair_pc,Chair PC Person
confof-city,City 
confof-company,Company Organization
confof-conference,Conference Working event
confof-contribution,Contribution at least 1 of hasKeyword at least 1 of contactEmail exactly 1 of abstract some dealsWith Topic Thing exactly 1 of hasTitle only dealsWith Topic Short paper Poster Paper Topic Author
confof-country,Country 
confof-event,Event Working event Social event Administrative event
confof-member,Member Participant
confof-member_pc,Member PC some reviewes Contribution Person only reviewes Contribution only expertOn Topic some expertOn Topic Topic Contribution
confof-organization,Organization Company University
confof-paper,Paper Contribution
confof-participant,Participant Person Member Student Regular
confof-person,Person some employedBy Organization Thing some hasCountry Country exactly 1 of hasFirstName at least 1 of hasEmail only employedBy Organization at least 1 of hasPostalCode at least 1 of hasStreet exactly 1 of hasSurname some hasCity City Participant Administrator Assistant Scholar Volunteer Author Science Worker Chair PC Member PC Organization
confof-poster,Poster Contribution
confof-reception,Reception Social event
confof-registration_of_participants_event,Registration of participants event Administrative event
confof-regular,Regular Participant
confof-reviewing_event,Reviewing event Administrative event
confof-reviewing_results_event,Reviewing results event Administrative event
confof-scholar,Scholar Person only studyAt University some studyAt University University
confof-science_worker,Science Worker Person
confof-short_paper,Short paper Contribution
confof-social_event,Social event exactly 1 of defaultChoice exactly 1 of has title exactly 1 of location Event Banquet Reception Trip
confof-student,Student Participant
confof-submission_event,Submission event Administrative event
confof-topic,Topic 
confof-trip,Trip Social event
confof-tutorial,Tutorial Working event
confof-university,University Organization
confof-volunteer,Volunteer Person
confof-working_event,Working event some hasTopic Topic exactly 1 of has title exactly 1 of defaultChoice Event exactly 1 of location only hasTopic Topic Tutorial Conference Workshop Administrative event Topic
confof-workshop,Workshop Working event
confof-thing,Thing Contribution Person
edas-academiaorganization,AcademiaOrganization Organization
edas-academicevent,AcademicEvent ConferenceEvent PaperPresentation TalkEvent OrganizationalMeeting Workshop Call
edas-acceptrating,AcceptRating ReviewRating
edas-acceptedpaper,AcceptedPaper Paper PaperPresentation
edas-accommodationplace,AccommodationPlace Place
edas-accpetifroomrating,AccpetIfRoomRating ReviewRating
edas-activepaper,ActivePaper Paper RatedPapers ReviewRating
edas-antennastopic,AntennasTopic Topic
edas-attendee,Attendee Person
edas-author,Author Presenter Paper
edas-breakevent,BreakEvent NonAcademicEvent MealBreak CoffeeBreak FreeTimeBreak
edas-cadtopic,CADTopic Topic
edas-call,Call CallForManuscripts CallForReviews CallForPapers AcademicEvent ConferenceChair or SessionChair or TPCMember
edas-callformanuscripts,CallForManuscripts Call
edas-callforpapers,CallForPapers Call
edas-callforreviews,CallForReviews Call
edas-closingtalk,ClosingTalk TalkEvent
edas-coffeebreak,CoffeeBreak BreakEvent
edas-communicationtheorytopic,CommunicationTheoryTopic Topic
edas-communicationstopic,CommunicationsTopic Topic
edas-computerarchitecturetopic,ComputerArchitectureTopic Topic
edas-computernetworksaapplicationstopic,ComputerNetworksAapplicationsTopic ComputerNetworksTopic
edas-computernetworksenterprisetopic,ComputerNetworksEnterpriseTopic ComputerNetworksTopic
edas-computernetworksmanagementtopic,ComputerNetworksManagementTopic ComputerNetworksTopic
edas-computernetworksmeasurementstopic,ComputerNetworksMeasurementsTopic ComputerNetworksTopic
edas-computernetworksopticaltopic,ComputerNetworksOpticalTopic ComputerNetworksTopic
edas-computernetworkssecuritytopic,ComputerNetworksSecurityTopic ComputerNetworksTopic
edas-computernetworkssensortopic,ComputerNetworksSensorTopic ComputerNetworksTopic
edas-computernetworksswitchingtopic,ComputerNetworksSwitchingTopic ComputerNetworksTopic
edas-computernetworkstopic,ComputerNetworksTopic Topic ComputerNetworksEnterpriseTopic ComputerNetworksManagementTopic ComputerNetworksAapplicationsTopic ComputerNetworksSwitchingTopic ComputerNetworksSecurityTopic ComputerNetworksMeasurementsTopic ComputerNetworksSensorTopic ComputerNetworksOpticalTopic
edas-conference,Conference exactly 1 of hasCountry exactly 1 of hasName at most 1 of manuscriptDueOn at most 1 of startDate exactly 1 of hasTopic at most 1 of paperDueOn at most 1 of registrationDueOn Thing at most 1 of endDate Country Person
edas-conferencechair,ConferenceChair Person
edas-conferencedinner,ConferenceDinner MealEvent
edas-conferenceevent,ConferenceEvent AcademicEvent NonAcademicEvent Person Place Programme
edas-conferencesession,ConferenceSession 
edas-conferencevenueplace,ConferenceVenuePlace Place
edas-contactinformation,ContactInformation 
edas-country,Country 
edas-cryptographytopic,CryptographyTopic Topic
edas-diningplace,DiningPlace Place
