concept,prompt
confof-administrative_event,参与者活动事件活动审查事件提交活动摄像机准备事件审查结果事件管理事件的行政事件活动注册
confof-administrator,管理员
confof-assistant,助理人
confof-author,作者有些人写贡献只写贡献
confof-banquet,宴会社交活动
confof-camera_ready_event,摄像机准备事件管理活动
confof-chair_pc,椅子人员
confof-city,城市
confof-company,公司组织
confof-conference,会议工作活动
confof-contribution,贡献某些交易主题恰好是Hastitle的1个摘要的1个摘要1至少1个haskeyword至少1个联系电子邮件仅处理主题海报纸纸简短纸主题作者
confof-country,国家
confof-event,活动管理活动社交活动工作活动
confof-member,会员参与者
confof-member_pc,成员PC仅专业主题某些评论贡献人员仅审查贡献某些专家主题主题贡献
confof-organization,组织大学公司
confof-paper,纸张贡献
confof-participant,参与者成员学生正常
confof-person,人物至少有1个hasemail中的1个至少1个haspostalcode中的1个恰好是Hassurname的1个hasscountry国家，只有组织雇用某些雇用的组织，恰好是Hasfirstname的1个HasfirstName的某些HASCITY CITY CITIONARE主席PC会员PC成员PC成员PC作者参与者参与者助理科学工作助理科学工作人员助理科学工作者组织
confof-poster,海报贡献
confof-reception,接待社交活动
confof-registration_of_participants_event,参与者活动的注册活动活动
confof-regular,常规参与者
confof-reviewing_event,审查活动管理活动
confof-reviewing_results_event,审查结果事件管理活动
confof-scholar,学者某些研究大学仅学习大学大学
confof-science_worker,科学工作人员
confof-short_paper,短纸贡献
confof-social_event,社交活动恰好1个位置的1个位置的1个正好是DefaultChoice接待旅行宴会的1
confof-student,学生参与者
confof-submission_event,提交事件管理事件
confof-topic,话题
confof-trip,旅行社交活动
confof-tutorial,教程工作活动
confof-university,大学组织
confof-volunteer,志愿者
confof-working_event,工作事件仅hastopic主题恰好1个标题中的某个急速主题恰好1 defaultchoice 1恰恰是1个位置活动会议教程研讨会的行政事件主题
confof-workshop,研讨会工作活动
confof-thing,事情贡献者
edas-academiaorganization,学术组织组织
edas-academicevent,Academicevent ConferenceEvent PaperPresentation Talkevent研讨会组织会议呼叫
edas-acceptrating,AccePtrating审查
edas-acceptedpaper,接受纸纸纸张
edas-accommodationplace,住宿地点
edas-accpetifroomrating,Accpetifroomerrating审查
edas-activepaper,Active Paper Paper评估纸张审查
edas-antennastopic,触角话题
edas-attendee,与会者的人
edas-author,作者主持人论文
edas-breakevent,收支平衡的非学术活动餐点休息咖啡折断
edas-cadtopic,摄影主题
edas-call,呼叫call formanuscripts callforpapers callforreviews Academicevent Conferencechair或Session Chair或TPCMember
edas-callformanuscripts,呼叫formanuscripts调用
edas-callforpapers,CallForpapers致电
edas-callforreviews,callforreviews调用
edas-closingtalk,ClosingTalk talkevent
edas-coffeebreak,咖啡磨损
edas-communicationtheorytopic,通信理论主题
edas-communicationstopic,通信史蒂分主题
edas-computerarchitecturetopic,计算机架构主题
edas-computernetworksaapplicationstopic,ComputernetworksaapplicationStopic ComputernetworkStopic
edas-computernetworksenterprisetopic,Computernetworksenterprisetic ComputernetworkStopic
edas-computernetworksmanagementtopic,ComputernetworksmanagementTopic ComputernetworkStopic
edas-computernetworksmeasurementstopic,ComputernetworksmeasurementStopic ComputernetworkStopic
edas-computernetworksopticaltopic,Computernetworksopticaltopic computernetworkStopic
edas-computernetworkssecuritytopic,computernetworkssecuritytopic computernetworkStopic
edas-computernetworkssensortopic,computernetworkssentopic computernetworkStopic
edas-computernetworksswitchingtopic,ComputernetworksswitchingTopic ComputernetworkStopic
edas-computernetworkstopic,ComputerNetworksTopic Topic ComputerNetworksSensorTopic ComputerNetworksAapplicationsTopic ComputerNetworksManagementTopic ComputerNetworksSecurityTopic ComputerNetworksEnterpriseTopic ComputerNetworksMeasurementsTopic ComputerNetworksSwitchingTopic ComputerNetworksOpticalTopic
edas-conference,最多在登记处的最多1个距hascountry的1个终点的1个，最多是1个手稿的1个，最多是1个startdate的1个正好是1个hasname的1个paperdueon的1个恰好是匆忙的事物的1个
edas-conferencechair,Conferencechair人
edas-conferencedinner,会议的Mealevent
edas-conferenceevent,会议Event Academicevent非academicevent Person Place计划
edas-conferencesession,会议
edas-conferencevenueplace,会议Venueplace Place
edas-contactinformation,联系信息
edas-country,国家
edas-cryptographytopic,密码学主题
edas-diningplace,餐厅的地方
edas-document,文档SlideSet评论fealmenu计划论文学院或会议或会议或人
edas-excursion,游览社会诉讼
edas-freetimebreak,Freetime Break Breakevent
edas-governmentorganization,政府组织
edas-industryorganization,行业组织
edas-mealbreak,即使是用餐休息
edas-mealevent,Mealevent NonAcademicevent会议
edas-mealmenu,MealMenu文件Mealevent
edas-medicinetopic,医学主题
edas-meetingroomplace,会议室的地方
edas-microelectronicstopic,微电子学主题
edas-mobilecomputingtopic,MobileComputingTopic主题
edas-multimediatopic,多次病主题
edas-ngo,非政府组织组织
edas-nonacademicevent,非核糖会议会议Event reakevent Mealevent Socialevent
edas-numericalreviewquestion,数字reviewQuestion评论问题
edas-operatingtopicsystems,OpertyTopicSystems主题
edas-organization,组织非政府组织政府组织学院组织业务组织赞助
edas-organizationalmeeting,组织会议学术活动
edas-paper,纸质文档删除纸张发布的纸张activepaper被拒绝的纸置纸申请文件conferencechair或审稿人或sessionchair或tpcmember作者作者
edas-paperpresentation,PaperPresentation Academicevent接受的纸
edas-parallelanddistributedcomputingtopic,Paralleland -DistributedComputingTopic主题
edas-pendingpaper,待纸纸
edas-performancetopic,表演主题
edas-person,人会议会议会议主人tpcmember与会者会议会议会议
edas-personalhistory,个人历史个人浏览史个人观众史
edas-personalpublicationhistory,个人公开史的个人历史
edas-personalreviewhistory,个人阅读史的个人历史审稿人
edas-place,放置会议室餐厅住宿会议会议会议会议会议
edas-powerlinetransmissiontopic,PowerlineTransmissionTopic主题
edas-presenter,主持人作者
edas-programme,程序文档会议Event
edas-publishedpaper,出版纸论文
edas-radiocommunicationstopic,放射性通信主题
edas-ratedpapers,评分纸的活动纸
edas-reception,接待社会行动
edas-rejectrating,拒绝审查率
edas-rejectedpaper,拒绝的纸张
edas-review,评论文件
edas-reviewform,评论form
edas-reviewquestion,评论Question NumericalReviewQuestion textualReviewQuestion
edas-reviewrating,审查周的审查置置拒绝额定额度室友
edas-reviewer,评论者个人浏览史
edas-satelliteandspacecommunicationstopic,SatelliteandspaceCommunicationStopic主题
edas-securitytopic,SecurityTopic主题
edas-sessionchair,会议人员
edas-signalprocessingtopic,SignalProcessingTopic主题
edas-singlelevelconference,SinglelevelConference
edas-slideset,滑块文档
