file,concept1,concept2,value
oaei_all_mappings.csv,conference-person,edas-person,1.0
oaei_all_mappings.csv,conference-conference_participant,edas-attendee,1.0
oaei_all_mappings.csv,conference-organization,edas-organization,1.0
oaei_all_mappings.csv,conference-reviewer,edas-reviewer,1.0
oaei_all_mappings.csv,conference-has_the_first_name,edas-hasfirstname,1.0
oaei_all_mappings.csv,conference-conference_part,edas-conferenceevent,1.0
oaei_all_mappings.csv,conference-workshop,edas-workshop,1.0
oaei_all_mappings.csv,conference-conference_document,edas-document,1.0
oaei_all_mappings.csv,conference-paper,edas-paper,1.0
oaei_all_mappings.csv,conference-has_a_review_expertise,edas-hasrating,1.0
oaei_all_mappings.csv,conference-has_the_last_name,edas-haslastname,1.0
oaei_all_mappings.csv,conference-review,edas-review,1.0
oaei_all_mappings.csv,conference-conference_volume,edas-conference,1.0
oaei_all_mappings.csv,conference-rejected_contribution,edas-rejectedpaper,1.0
oaei_all_mappings.csv,conference-topic,edas-topic,1.0
oaei_all_mappings.csv,conference-accepted_contribution,edas-acceptedpaper,1.0
oaei_all_mappings.csv,conference-regular_author,edas-author,1.0
oaei_all_mappings.csv,cmt-conference,sigkdd-conference,1.0
oaei_all_mappings.csv,cmt-paper,sigkdd-paper,1.0
oaei_all_mappings.csv,cmt-programcommitteemember,sigkdd-program_committee_member,1.0
oaei_all_mappings.csv,cmt-document,sigkdd-document,1.0
oaei_all_mappings.csv,cmt-conferencechair,sigkdd-general_chair,1.0
oaei_all_mappings.csv,cmt-email,sigkdd-e-mail,1.0
oaei_all_mappings.csv,cmt-review,sigkdd-review,1.0
oaei_all_mappings.csv,cmt-programcommittee,sigkdd-program_committee,1.0
oaei_all_mappings.csv,cmt-programcommitteechair,sigkdd-program_chair,1.0
oaei_all_mappings.csv,cmt-author,sigkdd-author,1.0
oaei_all_mappings.csv,cmt-submitpaper,sigkdd-submit,1.0
oaei_all_mappings.csv,cmt-person,sigkdd-person,1.0
oaei_all_mappings.csv,edas-conferencedinner,ekaw-conference_banquet,1.0
oaei_all_mappings.csv,edas-academicevent,ekaw-scientific_event,1.0
oaei_all_mappings.csv,edas-acceptedpaper,ekaw-accepted_paper,1.0
oaei_all_mappings.csv,edas-isreviewedby,ekaw-hasreviewer,1.0
