file,concept1,concept2,value
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-CQA-1-1,paragraph2sentence.test-CQA-1-2,1.25
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-CQA-2-1,paragraph2sentence.test-CQA-2-2,2.75
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-CQA-3-1,paragraph2sentence.test-CQA-3-2,4.00
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-CQA-4-1,paragraph2sentence.test-CQA-4-2,0.00
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-CQA-5-1,paragraph2sentence.test-CQA-5-2,0.00
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-CQA-6-1,paragraph2sentence.test-CQA-6-2,0.50
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-CQA-7-1,paragraph2sentence.test-CQA-7-2,4.00
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-CQA-8-1,paragraph2sentence.test-CQA-8-2,3.00
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-CQA-9-1,paragraph2sentence.test-CQA-9-2,1.25
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-CQA-10-1,paragraph2sentence.test-CQA-10-2,4.00
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-CQA-11-1,paragraph2sentence.test-CQA-11-2,2.50
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-CQA-12-1,paragraph2sentence.test-CQA-12-2,0.00
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-CQA-13-1,paragraph2sentence.test-CQA-13-2,4.00
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-CQA-14-1,paragraph2sentence.test-CQA-14-2,0.63
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-CQA-15-1,paragraph2sentence.test-CQA-15-2,2.50
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-CQA-16-1,paragraph2sentence.test-CQA-16-2,4.00
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-CQA-17-1,paragraph2sentence.test-CQA-17-2,0.00
