concept,prompt
sentence2phrase.trial-trial-s2p-1-1,Après l'intervalle entre les deux mi-temps d'un match  les équipes échangent les extrémités du terrain de jeu  afin de réduire tout avantage pouvant être obtenu en raison du vent ou d'une pente vers le terrain.
sentence2phrase.trial-trial-s2p-1-2,football associatif à la mi-temps
sentence2phrase.trial-trial-s2p-2-1,Les pressions du président Obama en faveur d'une action militaire pour punir l'utilisation présumée d'armes chimiques par la Syrie lèvent un premier obstacle au Congrès américain.
sentence2phrase.trial-trial-s2p-2-2,temps de marche moyen pour un 5 km
sentence2phrase.trial-trial-s2p-3-1,Le disque dur n'a pas pu être utilisé en raison d'un dommage permanent à sa surface.
sentence2phrase.trial-trial-s2p-3-2,secteurs défectueux sur le disque dur
sentence2phrase.trial-trial-s2p-4-1,sauter d'une structure haute tout en étant connecté à un gros cordon élastique.
sentence2phrase.trial-trial-s2p-4-2,saut à l'élastique
sentence2phrase.trial-trial-s2p-5-1,Les cadres des vélos de course sont fabriqués à partir d'un polymère renforcé de fibres extrêmement résistant et léger qui contient des fibres de carbone.
sentence2phrase.trial-trial-s2p-5-2,cadre de vélo en fibre de carbone
sentence2phrase.trial-trial-s2p-6-1,Les premiers projets de métro à Moscou remontent à l'Empire russe  mais ont été reportés par la Première Guerre mondiale  la Révolution d'Octobre et la guerre civile russe.
sentence2phrase.trial-trial-s2p-6-2,époque de la guerre froide
sentence2phrase.trial-trial-s2p-7-1,Historiquement  dans les pays où les partis communistes luttaient pour accéder au pouvoir d’État  la formation d’alliances de guerre avec des partis non communistes et des groupes de guerre était adoptée.
sentence2phrase.trial-trial-s2p-7-2,Parti communiste de l'Union soviétique
sentence2phrase.trial-trial-s2p-8-1,Vladimir Ilitch Lénine a été chef de la SFSR russe à partir de 1917  puis simultanément premier ministre de l'Union soviétique à partir de 1922  jusqu'à sa mort.
sentence2phrase.trial-trial-s2p-8-2,Parti communiste de l'Union soviétique
sentence2phrase.trial-trial-s2p-9-1,L'hydroélectricité est la production d'énergie électrique grâce à l'utilisation de la force gravitationnelle de l'eau qui tombe ou qui coule.
sentence2phrase.trial-trial-s2p-9-2,électricité produite par l'hydroélectricité
sentence2phrase.trial-trial-s2p-10-1,Les chercheurs de l’agence spatiale pensent avoir découvert des indices vitaux qui semblent indiquer que des extraterrestres primitifs pourraient vivre sur la Lune.
sentence2phrase.trial-trial-s2p-10-2,Preuve de la vie dans l'espace
sentence2phrase.trial-trial-s2p-11-1,Cette série d'images de la mission Cassini de la NASA montre la différence dans la quantité de pulvérisation émanant de la lune Encelade de Saturne.
sentence2phrase.trial-trial-s2p-11-2,instructions pour remplacer le clavier d'un ordinateur portable
sentence2phrase.trial-trial-s2p-12-1,Les États-Unis poursuivent leur projet de livrer quatre avions de combat F-16 à l’Égypte malgré les troubles politiques que connaît le pays.
sentence2phrase.trial-trial-s2p-12-2,garder les chasseurs F-16 en Jordanie
sentence2phrase.trial-trial-s2p-13-1,Il a vécu pendant plus d'une décennie sans aucun contact avec la société.
sentence2phrase.trial-trial-s2p-13-2,vivre isolé
sentence2phrase.trial-trial-s2p-14-1,La photographie glamour concerne également les visuels à la mode  avec une différence toutefois.
sentence2phrase.trial-trial-s2p-14-2,photographie de portrait à l'ancienne
sentence2phrase.trial-trial-s2p-15-1,Le tapis à poils noués est probablement originaire du 2ème millénaire avant JC en Asie occidentale  peut-être dans la région de la mer Caspienne ou sur les hauts plateaux arméniens  bien qu'il existe des preuves de chèvres et de moutons tondus pour la laine et les cheveux qui ont été filés et tissés dès le 7ème millénaire.
sentence2phrase.trial-trial-s2p-15-2,origines du tapis noué
sentence2phrase.trial-trial-s2p-16-1,Venez découvrir par vous-même : les meilleurs funparks et pistes de snowboard du monde.
sentence2phrase.trial-trial-s2p-16-2,vacances de snowboard
sentence2phrase.trial-trial-s2p-17-1,L'intérieur de Saturne est probablement composé d'un noyau de fer  de nickel et de roche  entouré d'une couche profonde d'hydrogène métallique  d'une couche intermédiaire d'hydrogène liquide et d'hélium liquide et d'une couche gazeuse externe.
sentence2phrase.trial-trial-s2p-17-2,plantes d'aquarium d'eau chaude
sentence2phrase.trial-trial-s2p-18-1,Le tourisme est l'un des secteurs industriels à la croissance la plus rapide et l'un des plus rentables d'Italie  avec un chiffre d'affaires estimé à 136 1 milliards d'euros.
sentence2phrase.trial-trial-s2p-18-2,sites du patrimoine mondial en Italie
sentence2phrase.trial-trial-s2p-19-1,Un chat élu maire d'une ville d'Alaska il y a 15 ans a été grièvement blessé lors d'une attaque de chien.
sentence2phrase.trial-trial-s2p-19-2,attaque contre le chat du maire de la ville
sentence2phrase.trial-trial-s2p-20-1,Une assemblée de fantômes  peut-être  mais qui représente les valeurs et la légitimité françaises autant  voire plus  que n'importe quelle formation politique.
sentence2phrase.trial-trial-s2p-20-2,valeurs et légitimité françaises importantes
sentence2phrase.trial-trial-s2p-21-1,Au fait  j'ai utilisé la recette de riz à sushi de @altonbrown sur le blog culinaire de cette semaine  Breakfast Sushi.
sentence2phrase.trial-trial-s2p-21-2,manger au lit
sentence2phrase.trial-trial-s2p-22-1,Le Danemark a un climat tempéré  caractérisé par des hivers doux  avec des températures moyennes en janvier et février de 0 0 °C (32 0 °F)  et des étés frais  avec une température moyenne en août de 15 7 °C (60 3 °F).
sentence2phrase.trial-trial-s2p-22-2,point d'ébullition
sentence2phrase.trial-trial-s2p-23-1,Il fit plusieurs tentatives pour s'enfuir de chez lui  réussissant finalement  à quatorze ans  en s'engageant comme garçon de cabine et cuisinier sur une goélette de pêche  mais il rentra bientôt chez lui.
sentence2phrase.trial-trial-s2p-23-2,travaux sur un bateau
