concept,prompt
sentence2phrase.trial-trial-s2p-1-1,在一场比赛的两个半场之间的间歇后，球队交换比赛场地的两端，以减少因风或球场坡度而可能获得的任何优势。
sentence2phrase.trial-trial-s2p-1-2,足球协会半场休息
sentence2phrase.trial-trial-s2p-2-1,奥巴马总统推动采取军事行动惩罚叙利亚涉嫌使用化学武器，这扫清了其在美国国会的第一个障碍。
sentence2phrase.trial-trial-s2p-2-2,5k 的平均步行时间
sentence2phrase.trial-trial-s2p-3-1,由于表面永久损坏，硬盘无法使用。
sentence2phrase.trial-trial-s2p-3-2,硬盘上有坏扇区
sentence2phrase.trial-trial-s2p-4-1,连接到一根大松紧绳时从高大的结构上跳下。
sentence2phrase.trial-trial-s2p-4-2,蹦极
sentence2phrase.trial-trial-s2p-5-1,竞赛自行车车架由极其坚固且轻质的纤维增强聚合物制成，其中含有碳纤维。
sentence2phrase.trial-trial-s2p-5-2,碳纤维自行车车架
sentence2phrase.trial-trial-s2p-6-1,莫斯科地铁系统的第一个计划可以追溯到俄罗斯帝国时期，但因第一次世界大战、十月革命和俄罗斯内战而推迟。
sentence2phrase.trial-trial-s2p-6-2,冷战时期
sentence2phrase.trial-trial-s2p-7-1,历史上，在共产党为夺取国家政权而奋斗的国家中，与非共产党和战时团体结成战时联盟是被制定的。
sentence2phrase.trial-trial-s2p-7-2,苏联共产党
sentence2phrase.trial-trial-s2p-8-1,弗拉基米尔·伊里奇·列宁自 1917 年起担任俄罗斯苏维埃联邦社会主义共和国领导人，自 1922 年起兼任苏联总理，直至去世。
sentence2phrase.trial-trial-s2p-8-2,苏联共产党
sentence2phrase.trial-trial-s2p-9-1,水力发电是通过利用落下或流动的水的重力来产生电力。
sentence2phrase.trial-trial-s2p-9-2,水力发电
sentence2phrase.trial-trial-s2p-10-1,美国宇航局的研究人员相信，他们已经发现了重要的线索，这些线索似乎表明原始外星人可能生活在月球上。
sentence2phrase.trial-trial-s2p-10-2,外太空存在生命的证据
sentence2phrase.trial-trial-s2p-11-1,美国宇航局卡西尼号任务的这组图像显示了土星卫星土卫二发出的喷雾量的差异。
sentence2phrase.trial-trial-s2p-11-2,更换笔记本电脑键盘的说明
sentence2phrase.trial-trial-s2p-12-1,尽管埃及政局动荡，美国仍继续向埃及交付四架 F-16 战斗机的计划。
sentence2phrase.trial-trial-s2p-12-2,将F-16战斗机留在约旦
sentence2phrase.trial-trial-s2p-13-1,他生活了十几年，与社会没有任何接触。
sentence2phrase.trial-trial-s2p-13-2,隔离生活
sentence2phrase.trial-trial-s2p-14-1,魅力摄影也涉及时尚的视觉效果，但有所不同。
sentence2phrase.trial-trial-s2p-14-2,旧式人像摄影
sentence2phrase.trial-trial-s2p-15-1,打结绒头地毯可能起源于公元前 2 世纪的西亚，可能是里海地区或亚美尼亚高地，尽管有证据表明早在 7 世纪就有人剪羊毛和织毛山羊和绵羊。
sentence2phrase.trial-trial-s2p-15-2,打结地毯的起源
sentence2phrase.trial-trial-s2p-16-1,快来亲身体验：世界上最好的游乐园和滑雪场。
sentence2phrase.trial-trial-s2p-16-2,单板滑雪假期
sentence2phrase.trial-trial-s2p-17-1,土星的内部可能由铁、镍和岩石组成的核心组成，周围是一层金属氢深层、一层液态氢和液态氦中间层以及一层气态外层。
sentence2phrase.trial-trial-s2p-17-2,温水水族箱植物
sentence2phrase.trial-trial-s2p-18-1,旅游业是意大利增长最快、利润最高的工业部门之一，预计收入达 1361 亿欧元。
sentence2phrase.trial-trial-s2p-18-2,意大利的世界遗产
sentence2phrase.trial-trial-s2p-19-1,15年前，一只被选为阿拉斯加小镇市长的猫在一次狗袭击中受了重伤。
sentence2phrase.trial-trial-s2p-19-2,袭击镇长的猫
sentence2phrase.trial-trial-s2p-20-1,也许是一群鬼魂的集会，但它比任何政治团体都更能代表法国的价值观和合法性。
sentence2phrase.trial-trial-s2p-20-2,重要的法国价值观和合法性
sentence2phrase.trial-trial-s2p-21-1,顺便说一句，我在本周的美食博客文章《早餐寿司》中使用了 @altonbrown 的寿司米饭食谱。
sentence2phrase.trial-trial-s2p-21-2,在床上吃东西
sentence2phrase.trial-trial-s2p-22-1,丹麦气候温和，冬季温和，一月和二月平均气温为 0.0 °C (32.0 °F)，夏季凉爽，八月平均气温为 15.7 °C (60.3 °F)。
sentence2phrase.trial-trial-s2p-22-2,沸点
sentence2phrase.trial-trial-s2p-23-1,他曾多次尝试离家出走，最终在十四岁时成功，在一艘渔船上当了一名船舱服务员和厨师，但他很快就回家了。
sentence2phrase.trial-trial-s2p-23-2,船上的工作
sentence2phrase.trial-trial-s2p-24-1,我是一位多次创业的人，在过去的四分之一世纪里在硅谷的中心生活和工作。
sentence2phrase.trial-trial-s2p-24-2,二尖瓣脱垂
sentence2phrase.trial-trial-s2p-25-1,如果你超级温柔地玩弄我的头发，我可能会爱上你。
sentence2phrase.trial-trial-s2p-25-2,捻弄头发的感觉
sentence2phrase.trial-trial-s2p-26-1,1770年，英国船长詹姆斯·库克中尉在库内尔半岛的博特尼湾登陆。
sentence2phrase.trial-trial-s2p-26-2,假登月
sentence2phrase.trial-trial-s2p-27-1,据推测，这个想法是为了让竞争对手不断猜测，同时也是为了让忠实用户在新产品发布时感到惊喜和高兴。
sentence2phrase.trial-trial-s2p-27-2,店内产品促销
sentence2phrase.trial-trial-s2p-28-1,贝丘遍布世界各地的沿海地区。
sentence2phrase.trial-trial-s2p-28-2,几乎普遍存在的海岸贝丘
sentence2phrase.trial-trial-s2p-29-1,从这张照片中可以看到两兄弟似乎互相支持。
sentence2phrase.trial-trial-s2p-29-2,兄弟之爱的写照
sentence2phrase.trial-trial-s2p-30-1,这部时长一小时的剧集讲述了一位乐观的高中老师试图改造学校的欢乐合唱团，并激励一群乌合之众表演者参加最盛大的比赛：全国大赛的故事。
sentence2phrase.trial-trial-s2p-30-2,全国大赛的梦想
sentence2phrase.trial-trial-s2p-31-1,还有其他几种天体导航方法也可以使用六分仪观测来提供位置查找，例如“中午视线”和更古老的“月球距离”方法。
sentence2phrase.trial-trial-s2p-31-2,六分仪观测天体导航
sentence2phrase.trial-trial-s2p-32-1,有一种方法可以让特斯拉 Model S 在全国范围内充电，速度比给油箱加满油还要快。
sentence2phrase.trial-trial-s2p-32-2,神秘机器
sentence2phrase.trial-trial-s2p-33-1,当你在泳池里撒尿时，没有使用任何化学物质来改变颜色：。
sentence2phrase.trial-trial-s2p-33-2,变色染料
sentence2phrase.trial-trial-s2p-34-1,他们在一所小学附近的垃圾箱旁的一个木箱里发现了它们。
sentence2phrase.trial-trial-s2p-34-2,学校垃圾堆旁的板条箱
sentence2phrase.trial-trial-s2p-35-1,我们在丝绸之路的黑市上购买毒品。
sentence2phrase.trial-trial-s2p-35-2,非法物品
sentence2phrase.trial-trial-s2p-36-1,当我要求 Meiklejohn 尝试追踪福布斯的交易时，我首先向她提供了与我们在流行的比特币钱包服务 Coinbase 上的账户相关的比特币地址——理论上，任何向 Coinbase 发送传票的调查执法机构都可以获取该信息。
sentence2phrase.trial-trial-s2p-36-2,追踪货币交易
paragraph2sentence.trial-trial-p2s-1-1,加雷斯·贝尔（Gareth Bale）以创纪录的8530万英镑（1亿欧元）从托特纳姆热刺转会至皇马，之后他被赠送给皇马球迷。这位威尔士前锋穿着深色西装在伯纳乌球场的 20 000 多名球迷面前走上舞台，受到热烈欢迎。这位24岁的球员用西班牙语告诉球迷：“来到马德里是我的梦想。谢谢你们的欢迎。
paragraph2sentence.trial-trial-p2s-1-2,官员称，日本一个小镇决定报废一艘被困渔船，这艘渔船已成为 2011 年毁灭性海啸的象征。
paragraph2sentence.trial-trial-p2s-2-1,虽然大型雪崩主要由流动的雪和空气组成，但它能够将冰、岩石、树木和其他物质夹带到斜坡上，这与泥石流、岩石滑坡和冰瀑布上的冰塔崩塌不同。雪崩并不是罕见或随机事件，并且是任何积雪堆积的山脉所特有的现象。雪崩在冬季或春季最常见，但冰川运动可能在一年中的任何时间引起冰雪崩。在山区，雪崩是对生命和财产造成的最严重的客观自然灾害之一，其破坏力源于其高速携带大量积雪的潜力。
paragraph2sentence.trial-trial-p2s-2-2,由于冰川质量受到长期气候变化的影响，冰川质量变化被认为是海平面变化的主要来源。
paragraph2sentence.trial-trial-p2s-3-1,与大多数动物不同，鲸鱼是有意识的呼吸者。所有哺乳动物都会睡觉，但鲸鱼不能长时间失去知觉，因为它们可能会被淹死。虽然对野生鲸目动物睡眠的了解有限，但据记录，圈养的齿鲸目动物每次只用一侧大脑睡觉，表面上是为了在休息期间游泳、有意识地呼吸、躲避捕食者和社交接触。人们认为鲸鱼的大脑一次只有一个半球睡觉，因此它们休息但从未完全睡着
paragraph2sentence.trial-trial-p2s-3-2,作为有意识的呼吸者，鲸鱼不可能长时间处于无意识状态。
