concept,prompt
conference-abstract,classes associées abstraites : propriétés abstraites étendues : possède un résumé  est la 1ème partie de
conference-accepted_contribution,Classes liées aux contributions acceptées : contribution prête à photographier  contribution rejetée  contribution révisée
conference-active_conference_participant,classes associées aux participants actifs à la conférence : contributeur à la conférence  participant à la conférence  conférencier invité  participant passif à la conférence  auteur régulier propriétés : donne des présentations  est donné par
conference-call_for_paper,appel à cours liés à la communication : document de conférence
conference-call_for_participation,appel à participation cours liés : document de conférence
conference-camera_ready_contribution,Classes liées à la contribution prête à l'emploi : contribution acceptée
conference-chair,classes liées à la présidence : propriétés des membres du comité : a un président de comité  a été président d'un comité de
conference-co-chair,classes liées au coprésident : propriétés des membres du comité : a un coprésident du comité  a été coprésident du comité de
conference-committee,classes liées aux comités : comité d'organisation  comité de programme  comité directeur propriétés : a un président de comité  a un coprésident de comité  a un comité  a des membres  a été coprésident de comité  a été président de comité de  a été comité de  a été membre de
conference-committee_member,classes liées aux membres du comité : président  coprésident  personne propriétés : a des membres  était membre de
conference-conference,cours liés à la conférence : volume de la conférence
conference-conference_announcement,Classes liées à l'annonce de la conférence : document de la conférence
conference-conference_applicant,Classes liées aux candidats à la conférence : personne  candidat inscrit
conference-conference_contribution,Classes liées aux contributions à la conférence : document de conférence  conférence invitée  affiche  présentation  contribution régulière  propriétés de contribution écrite : a des contributions  est soumise à
conference-conference_contributor,Classes liées aux contributeurs à la conférence : participant actif à la conférence  conférencier invité  personne  auteur régulier
conference-conference_document,Classes liées aux documents de conférence : appel à communication  appel à participation  annonce de conférence  contribution à la conférence  www de la conférence  informations pour les participants  propriétés de la revue : contribue  a une date de publication  a des auteurs
conference-conference_fees,frais de conférence
conference-conference_part,classes liées aux parties de conférence : piste  didacticiel  propriétés de l'atelier : possède une chaise de didacticiel d'atelier de piste  possède un sujet de didacticiel d'atelier de piste  comporte des parties  est un topis de parties de conférence  fait partie de volumes de conférence  était une chaise d'atelier de piste de
conference-conference_participant,Classes liées aux participants à la conférence : participant actif à la conférence  participant passif à la conférence  personne
conference-conference_proceedings,propriétés des actes de conférence : a un éditeur  a un volume  a un isbn  des numéros
conference-conference_volume,classes liées aux volumes de conférence : propriétés de la conférence : appartiennent à un volume de conférence  a un comité  a un emplacement  a un comité de programme  a un comité directeur  a un comité d'organisation  a des contributions  a des dates importantes  a des parties  a des pistes  a des tutoriels  a des ateliers  fait partie des volumes de conférence  est soumis à  était un comité de  était un comité de programme de  était un comité directeur de  était un comité organisateur de
conference-conference_www,conférence www classes associées : propriétés du document de conférence : possède une URL
conference-contribution_1th-author,contribution 1ème auteur classes connexes : contribution co-auteur  auteur régulier
conference-contribution_co-author,contribution co-auteur classes connexes : contribution 1ème auteur  auteur régulier
conference-early_paid_applicant,Cours liés aux candidats payés tôt : candidat payé en retard  candidat payé
conference-extended_abstract,cours connexes sur les résumés étendus : résumé  article  contribution régulière
conference-important_dates,propriétés des dates importantes : appartiennent à un volume de conférence  ont des dates importantes  sont une date d'annonce d'acceptation  sont une date de soumission de l'article prêt à photographier  sont une date de soumission de l'article complet  sont une date de début  sont une date de soumission du résumé  sont une date de fin
conference-information_for_participants,informations pour les participants cours liés : document de conférence
conference-invited_speaker,cours liés aux conférenciers invités : contributeur à la conférence
conference-invited_talk,cours liés aux conférences invitées : poster  présentation  contribution régulière
conference-late_paid_applicant,Cours liés aux candidats payés en retard : candidat payé en avance  candidat payé
conference-organization,organisation
conference-organizer,classes liées à l'organisateur : membre du comité  organisation
conference-organizing_committee,classes liées au comité organisateur : comité  comité de programme  comité directeur propriétés : a un comité organisateur  était un comité organisateur de
conference-paid_applicant,cours liés aux candidats rémunérés : candidat payé en avance  candidat payé en retard  candidat enregistré
conference-paper,cours liés à l'article : résumé étendu  contribution régulière
conference-passive_conference_participant,Classes liées aux participants passifs à la conférence : participant actif à la conférence  participant à la conférence
conference-person,classes liées à la personne : membre du comité  candidat à la conférence  contributeur à la conférence  participant à la conférence  évaluateur  suivi des propriétés du président d'atelier : contribue  a un e-mail  a des auteurs  a un sexe  a le prénom  a le nom de famille
conference-poster,cours liés aux posters : contribution à une conférence  conférence invitée  contribution régulière
conference-presentation,cours liés à la présentation : contribution à une conférence  conférence invitée propriétés : donne des présentations  est donné par
conference-program_committee,classes liées au comité de programme : comité  comité d'organisation  comité directeur propriétés : a un comité de programme  était un comité de programme de
conference-publisher,propriétés de l'éditeur : a un éditeur  des numéros
conference-registeered_applicant,Cours liés aux candidats inscrits : candidat à une conférence  candidat rémunéré
conference-regular_author,Cours réguliers liés à l'auteur : contributeur à la conférence  contribution 1ème auteur  contribution co-auteur
conference-regular_contribution,cours liés aux contributions régulières : résumé étendu  conférence invitée  article  affiche  contribution écrite
conference-rejected_contribution,classes liées aux contributions rejetées : contribution acceptée  contribution révisée
conference-review,classes associées aux révisions : propriétés du document de conférence : a une révision  a des auteurs  des critiques
conference-review_expertise,Propriétés de l'expertise en révision : appartient aux réviseurs  possède une expertise en révision  a une contribution soumise  possède une expertise
conference-review_preference,Propriétés des préférences de révision : appartient à une référence de révision  appartient aux évaluateurs  possède un diplôme  a un sujet ou une contribution de soumission  s'est vu attribuer une référence de révision
conference-reviewed_contribution,Classes associées aux contributions examinées : contribution acceptée  contribution rejetée  propriétés de la contribution soumise : a une révision  évalue
conference-reviewer,classes liées aux réviseurs : propriétés de la personne : appartient aux réviseurs  possède une référence ou une expertise en matière de révision  invité par  invite les co-réviseurs
conference-steering_committee,classes liées au comité directeur : comité  comité organisateur  propriétés du comité de programme : a un comité directeur  était un comité directeur de
conference-submitted_contribution,classes liées à la contribution soumise : affiche  contribution régulière  contribution révisée  propriétés de la contribution écrite : possède une expertise en matière de révision  a une contribution soumise
conference-topic,propriétés du sujet : appartient à une référence de révision  possède un sujet de didacticiel d'atelier de suivi  est un sujet de parties de conférence
conference-track,suivre les cours associés : partie conférence  tutoriel  propriétés de l'atelier : contient des pistes
conference-track-workshop_chair,Classes liées à la chaise d'atelier de piste : propriétés de la personne : possède une chaise de didacticiel d'atelier de piste  était une chaise d'atelier de piste de
conference-tutorial,Classes liées au didacticiel : partie de conférence  piste  propriétés de l'atelier : contient des didacticiels
conference-workshop,classes liées à l'atelier : partie conférence  piste  propriétés du didacticiel : comporte des ateliers
conference-written_contribution,Cours liés aux contributions écrites : contribution à une conférence  affiche  contribution régulière  contribution soumise
cmt-acceptance,cours liés à l'acceptation : décision  rejet
cmt-administrator,classes liées à l'administrateur : propriétés utilisateur : accepter le papier  accepté par  ajouter un membre du comité de programme  ajouté par  attribuer un réviseur  attribué par l'administrateur  détails saisis par  activer la réunion virtuelle  saisir les détails de la conférence  saisir les critères de révision  finaliser l'attribution du papier  manifestes de courrier imprimés imprimés par  attribution du papier finalisé par  outils d'attribution du papier exécutés par  imprimer les manifestes de courrier papier  rejeter le papier  rejeté par  critères de révision saisis par  enchère du réviseur lancée par  exécuter les outils d'attribution du papier  définir le nombre maximum de documents  lancer les enchères des réviseurs  réunion virtuelle activée par
cmt-associatedchair,classes associées à la chaise associée : président de conférence  membre de conférence
cmt-author,classes liées à l'auteur : auteur non critique  co-auteur  membre de la conférence  propriétés de l'utilisateur : a un auteur  soumettre un article  rédiger un article
cmt-authornotreviewer,Cours liés à l'auteur et non au réviseur : auteur  membre du comité de programme  réviseur
cmt-bid,classes liées à l'offre : conférence  décision  document  personne  préférence  propriétés du comité de programme : ajuster l'offre  ajusté par  a enchéri
cmt-chairman,classes liées au président : président associé  président de conférence  personne  président du comité de programme
cmt-co-author,classes liées au co-auteur : propriétés de l'auteur : co-écrire un article  a un co-auteur
